,smartfill,MAE
0,0.200002,7.3927212507061295
0,0.200002,7.421722943715924
0,0.300003,7.211468487318235
0,0.300003,7.263774908550347
0,0.300003,7.441706344095102
0,0.300003,7.261296722158601
0,0.300003,7.100608447591751
0,0.300003,7.236230071197812
0,0.400004,7.244628687749941
0,0.400004,6.9987058405423666
0,0.400004,7.299587145135645
0,0.400004,7.147013908364162
0,0.400004,7.210316401130294
0,0.400004,7.4148351369097805
0,0.500005,7.139990454919626
0,0.500005,7.602514034213858
0,0.500005,7.257926444663317
0,0.500005,7.232867026887622
0,0.500005,7.176303248095753
0,0.500005,7.375067698741689
0,0.600006,7.289766358946261
0,0.600006,7.309511370380314
0,0.600006,7.511936727715593
0,0.600006,7.285871458845618
0,0.600006,7.241219383662693
0,0.600006,7.334562946507961
0,0.700007,7.2761868051446665
0,0.700007,7.22811699457554
0,0.700007,7.489838153579365
0,0.700007,7.414165414408502
0,0.700007,7.341282539051825
0,0.700007,7.405555011467782
0,0.800008,7.448843902360164
0,0.800008,7.297462817794383
0,0.800008,7.473406427387737
0,0.800008,7.716929202097365
0,0.800008,7.686462702607806
0,0.800008,7.338814355742218
0,0.9000090000000001,7.223065073549633
0,0.9000090000000001,7.335166038148603
0,0.9000090000000001,7.363054697625746
0,0.9000090000000001,7.611786444091238
0,0.9000090000000001,7.465506253224534
0,0.9000090000000001,7.5090277237228085
0,1.00001,7.3271853268008025
0,1.00001,7.249447497533521
0,1.00001,7.340232801243581
0,1.00001,6.799793602854867
0,1.00001,7.240243259372134
0,1.00001,7.275124131336813
0,0.0,7.43630588405069
0,0.0,7.256316076999718
0,0.0,7.3677168726907185
0,0.0,7.500105825321536
0,0.0,6.944897553306572
0,0.0,7.325232681637526
0,0.100001,7.22212184033238
0,0.100001,7.072075633925572
0,0.100001,7.23664401123353
0,0.100001,7.129467565534477
0,0.100001,7.69828784698477
0,0.100001,7.152794132167503
0,0.200002,7.098030534885956
0,0.200002,7.152462679773851
0,0.200002,7.575690805611155
0,0.200002,7.117544269617454
0,0.200002,7.120834350262207
0,0.200002,7.5387614074479705
0,0.300003,7.126679099535031
0,0.300003,7.096186798594929
0,0.300003,7.084093224252505
0,0.300003,7.486190573951427
0,0.300003,7.1715414735462915
0,0.300003,7.240482717725385
0,0.400004,7.259315610392006
0,0.400004,7.174959783146794
0,0.400004,7.233608615411664
0,0.400004,7.3002197774783815
0,0.400004,7.401896337968568
0,0.400004,7.1442483011327935
0,0.500005,7.563695330871092
0,0.500005,7.046466239956915
0,0.500005,7.371759258329845
0,0.500005,7.1531664026149855
0,0.500005,7.474332987893865
0,0.500005,7.505782196512426
0,0.600006,7.693234209912746
0,0.600006,7.20845417125393
0,0.600006,7.4644452518505116
